symptom,disease
Holoprosencephaly,Del (2) (p22-p21)
Cleft palate,Del (2) (p22-p21)
Failed corpus callosum development,Del (2) (p22-p21)
Cleft lips,Del (2) (p22-p21)
Kidney anomalies,Del (2) (p22-p21)
Low birth weight,2q22-q24 deletion
Cleft palate,2q22-q24 deletion
Great vessel abnormalities,2q22-q24 deletion
Small jaw,2q22-q24 deletion
Small facial features,2q22-q24 deletion
Abdominal discomfort,Abdominal chemodectomas with cutaneous angiolipomas
Abdominal swelling,Abdominal chemodectomas with cutaneous angiolipomas
Abdominal pain,Abdominal chemodectomas with cutaneous angiolipomas
Swelling of legs,Abdominal chemodectomas with cutaneous angiolipomas
Intestinal obstruction,Abdominal chemodectomas with cutaneous angiolipomas
New hairs easily plucked,Peeling skin syndrome
Thickening of skin on palms,Peeling skin syndrome
Thickening of skin on soles,Peeling skin syndrome
Skin shedding,Peeling skin syndrome
Itching,Peeling skin syndrome
Pain at base of thumb,Skier's thumb
Swelling at base of thumb,Skier's thumb
Difficulty gripping objects,Skier's thumb
Bruising at base of thumb,Skier's thumb
Partially developed mullerian structues - complete failure of gonad development,"46,xy gonadal dysgenesis, complete or partial, with or without adrenal failure"
Partially developed wolffian structures - complete failure of gonad development,"46,xy gonadal dysgenesis, complete or partial, with or without adrenal failure"
Streak gonads - complete failure of gonad development,"46,xy gonadal dysgenesis, complete or partial, with or without adrenal failure"
Normal female external genitals - complete failure of gonad development,"46,xy gonadal dysgenesis, complete or partial, with or without adrenal failure"
Normal mullerian structures - complete failure of gonad development,"46,xy gonadal dysgenesis, complete or partial, with or without adrenal failure"
Ambiguous external genitals - partial failure of gonad development,"46,xy gonadal dysgenesis, complete or partial, with or without adrenal failure"
Nausea,Abdominal injuries
Abdominal bruising,Abdominal injuries
Abdominal pain,Abdominal injuries
Ruptured organs,Abdominal injuries
Abdominal bleeding,Abdominal injuries
Hyperopia,Accommodative effort
Eye fatigue when using near vision,Accommodative effort
Blurry vision when using near vision,Accommodative effort
Presbyopia,Accommodative effort
Accommodative paralysis,Accommodative effort
Whiteheads,Acne
Pustules,Acne
Cysts,Acne
Pimples,Acne
Itchy,Demodicidosis
Persistent skin follicle eruption,Demodicidosis
Skin bumps,Demodicidosis
Skin nodules,Demodicidosis
Short statures,Acrocapitofemoral dysplasia
Short fingers,Acrocapitofemoral dysplasia
Cone-shaped epiphyses - mainly in hands and hips,Acrocapitofemoral dysplasia
Short limbs,Acrocapitofemoral dysplasia
Narrow chest,Acrocapitofemoral dysplasia
Headaches,Acanthocheilonemiasis
Joint swelling,Acanthocheilonemiasis
Pruritus,Acanthocheilonemiasis
Cold legs,Acanthocheilonemiasis
Short fingers,Acrodysplasia scoliosis
Short toes,Acrodysplasia scoliosis
Short feet,Acrodysplasia scoliosis
Scoliosis,Acrodysplasia scoliosis
Vertebral segmentation anomaly,Acrodysplasia scoliosis
Spina bifida occulta,Acrodysplasia scoliosis
